"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C93","0402C","-39.37mil","1688.976mil","-39.37mil","1688.976mil","-39.37mil","1672.244mil","B","90.00","0.1UF_16V, 0402"
"C92","0402C","-405.512mil","1425.197mil","-405.512mil","1425.197mil","-405.512mil","1408.465mil","B","90.00","2.2UF_6V, 0402"
"C91","0402C","-381.89mil","1933.071mil","-381.89mil","1933.071mil","-398.622mil","1933.071mil","B","360.00","0.1UF_16V, 0402"
"C90","0402C","-27.559mil","1374.016mil","-27.559mil","1374.016mil","-44.291mil","1374.016mil","B","360.00","0.1UF_16V, 0402"
"C89","0402C","47.244mil","1374.016mil","47.244mil","1374.016mil","30.512mil","1374.016mil","B","360.00","0.1UF_16V, 0402"
"C88","0402C","-669.291mil","1858.268mil","-669.291mil","1858.268mil","-652.559mil","1858.268mil","B","180.00","0.1UF_16V, 0402"
"C87","0402C","393.701mil","1417.323mil","393.701mil","1417.323mil","410.433mil","1417.323mil","B","180.00","2.2UF_6V, 0402"
"C86","0402C","15.748mil","1586.614mil","15.748mil","1586.614mil","-0.984mil","1586.614mil","B","360.00","0.1UF_16V, 0402"
"C85","0402C","440.945mil","870.079mil","440.945mil","870.079mil","440.945mil","853.346mil","B","90.00","0.1UF_16V, 0402"
"C84","0402C","90.551mil","1574.803mil","90.551mil","1574.803mil","90.551mil","1558.071mil","B","90.00","0.1UF_16V, 0402"
"C83","0402C","114.173mil","1476.378mil","114.173mil","1476.378mil","97.441mil","1476.378mil","B","360.00","0.1UF_16V, 0402"
"C82","0402C","-94.488mil","1389.764mil","-94.488mil","1389.764mil","-94.488mil","1373.032mil","B","90.00","2.2UF_6V, 0402"
"C81","0402C","-149.606mil","1397.638mil","-149.606mil","1397.638mil","-149.606mil","1414.37mil","B","270.00","0.1UF_16V, 0402"
"C80","0402C","-133.858mil","1448.819mil","-133.858mil","1448.819mil","-117.126mil","1448.819mil","B","180.00","0.1UF_16V, 0402"
"C79","0402C","-11.811mil","1413.386mil","-11.811mil","1413.386mil","4.921mil","1413.386mil","B","180.00","0.1UF_16V, 0402"
"C78","0402C","-78.74mil","1464.567mil","-78.74mil","1464.567mil","-78.74mil","1481.299mil","B","270.00","0.1UF_16V, 0402"
"C77","0402C","70.866mil","720.472mil","70.866mil","720.472mil","87.598mil","720.472mil","B","180.00","2.2UF_6V, 0402"
"C76","0402C","-248.031mil","1275.591mil","-248.031mil","1275.591mil","-248.031mil","1292.323mil","B","270.00","0.1UF_16V, 0402"
"C75","0402C","-62.992mil","1244.094mil","-62.992mil","1244.094mil","-62.992mil","1260.827mil","B","270.00","0.1UF_16V, 0402"
"C74","0402C","23.622mil","1244.094mil","23.622mil","1244.094mil","23.622mil","1260.827mil","B","270.00","0.1UF_16V, 0402"
"C73","0402C","82.677mil","1322.835mil","82.677mil","1322.835mil","99.409mil","1322.835mil","B","180.00","0.1UF_16V, 0402"
"C72","0402C","31.496mil","1535.433mil","31.496mil","1535.433mil","31.496mil","1552.165mil","B","270.00","2.2UF_6V, 0402"
"C71","0402C","-153.543mil","1515.748mil","-153.543mil","1515.748mil","-153.543mil","1532.48mil","B","270.00","0.1UF_16V, 0402"
"C70","0402C","-78.74mil","1535.433mil","-78.74mil","1535.433mil","-78.74mil","1552.165mil","B","270.00","0.1UF_16V, 0402"
"C69","0402C","-23.622mil","1535.433mil","-23.622mil","1535.433mil","-23.622mil","1552.165mil","B","270.00","0.1UF_16V, 0402"
"C68","0402C","-23.622mil","1464.567mil","-23.622mil","1464.567mil","-23.622mil","1481.299mil","B","270.00","0.1UF_16V, 0402"
"C67","0402C","-220.472mil","704.724mil","-220.472mil","704.724mil","-220.472mil","721.457mil","B","270.00","2.2UF_6V, 0402"
"C66","0402C","-251.969mil","960.63mil","-251.969mil","960.63mil","-268.701mil","960.63mil","B","360.00","0.1UF_16V, 0402"
"C65","0402C","-152.795mil","1248.032mil","-152.795mil","1248.032mil","-152.795mil","1264.764mil","B","270.00","0.1UF_16V, 0402"
"C64","0402C","70.866mil","944.882mil","70.866mil","944.882mil","87.598mil","944.882mil","B","180.00","0.1UF_16V, 0402"
"C63","0402C","114.173mil","1417.323mil","114.173mil","1417.323mil","97.441mil","1417.323mil","B","360.00","0.1UF_16V, 0402"
"C62","0805C","-1228.347mil","964.567mil","-1228.347mil","964.567mil","-1228.347mil","925.197mil","B","90.00","10UF_10V, 0805"
"C61","0805C","-1031.496mil","515.748mil","-1031.496mil","515.748mil","-1070.866mil","515.748mil","B","360.00","10UF_10V, 0805"
"C60","0805C","393.701mil","858.268mil","393.701mil","858.268mil","393.701mil","818.898mil","T","90.00","22UF_6V, 0805"
"C59","0805C","744.095mil","625.984mil","744.095mil","625.984mil","744.095mil","586.614mil","T","90.00","10UF_10V, 0805"
"C58","ELEC_8MM_8MM","-925.197mil","637.795mil","-925.197mil","637.795mil","-925.197mil","568.898mil","T","90.00","220UF_16V_POLY_8X8"
"C57","0402C","295.276mil","519.685mil","295.276mil","519.685mil","312.008mil","519.685mil","T","180.00","0PF_DNP, 0402"
"C56","0805C","-1202.033mil","671.197mil","-1202.033mil","671.197mil","-1162.663mil","671.197mil","B","180.00","10UF_10V, 0805"
"C55","0402C","944.882mil","929.134mil","944.882mil","929.134mil","944.882mil","912.402mil","B","90.00","2.2UF_6V, 0402"
"C54","0402C","944.882mil","704.724mil","944.882mil","704.724mil","944.882mil","721.457mil","B","270.00","0.1UF_16V, 0402"
"C51","0402C","1003.937mil","744.095mil","1003.937mil","744.095mil","1003.937mil","727.362mil","B","90.00","2.2UF_6V, 0402"
"C48","0805C","271.654mil","1696.85mil","271.654mil","1696.85mil","271.654mil","1736.22mil","T","270.00","22UF_6V, 0805"
"C47","0805C","704.725mil","1641.732mil","704.725mil","1641.732mil","704.725mil","1602.362mil","T","90.00","10UF_10V, 0805"
"C46","ELEC_8MM_8MM","-1220.472mil","279.528mil","-1220.472mil","279.528mil","-1220.472mil","210.63mil","T","90.00","220UF_16V_POLY_8X8"
"C45","0402C","354.331mil","1527.559mil","354.331mil","1527.559mil","371.063mil","1527.559mil","T","180.00","0PF_DNP, 0402"
"C44","0402C","70.866mil","850.394mil","70.866mil","850.394mil","87.598mil","850.394mil","B","180.00","1UF_10V, 0402"
"C43","0402C","1566.929mil","1192.913mil","1566.929mil","1192.913mil","1566.929mil","1209.646mil","B","270.00","0.1UF_16V, 0402"
"C42","0402C","1618.11mil","1460.63mil","1618.11mil","1460.63mil","1618.11mil","1443.898mil","B","90.00","0.1UF_16V, 0402"
"C41","0402C","1248.032mil","622.047mil","1248.032mil","622.047mil","1231.299mil","622.047mil","B","360.00","0.1UF_16V, 0402"
"C36","0402C","881.89mil","720.472mil","881.89mil","720.472mil","865.158mil","720.472mil","B","360.00","22PF_50V, 0402"
"C35","0402C","775.591mil","552.165mil","775.591mil","552.165mil","758.858mil","552.165mil","B","360.00","22PF_50V, 0402"
